,index,name,ticker,identifier,sedol,weight,sector,sharesheld,localcurrency
150,150,DOORDASH INC   A,DASH,25809K105,BN13P03,0.133587,-,4170683.0,USD
151,151,ECOLAB INC,ECL,278865100,2304227,0.133135,-,3099931.0,USD
152,152,TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.132091,-,2787246.0,USD
153,153,ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.131876,-,1318977.0,USD
154,154,AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.131572,-,2733918.0,USD
155,155,HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,0.129412,-,2198146.0,USD
156,156,AMERICAN ELECTRIC POWER,AEP,025537101,2026242,0.128489,-,6550856.0,USD
157,157,BECTON DICKINSON AND CO,BDX,075887109,2087807,0.127964,-,3530033.0,USD
158,158,EMERSON ELECTRIC CO,EMR,291011104,2313405,0.125461,-,6932353.0,USD
159,159,AUTODESK INC,ADSK,052769106,2065159,0.125247,-,2644553.0,USD
160,160,APOLLO GLOBAL MANAGEMENT INC,APO,03769M106,BN44JF6,0.123364,-,5498464.0,USD
161,161,BANK OF NEW YORK MELLON CORP,BK,064058100,B1Z77F6,0.122106,-,8822958.0,USD
162,162,AFLAC INC,AFL,001055102,2026361,0.119527,-,6084956.0,USD
163,163,CSX CORP,CSX,126408103,2160753,0.119508,-,23720563.0,USD
164,164,COPART INC,CPRT,217204106,2208073,0.118146,-,10783763.0,USD
165,165,ONEOK INC,OKE,682680103,2130109,0.116356,-,7633289.0,USD
166,166,KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,0.114696,-,23775251.0,USD
167,167,ALLSTATE CORP,ALL,020002101,2019952,0.114546,-,3257328.0,USD
168,168,REALTY INCOME CORP,O,756109104,2724193,0.114082,-,10749057.0,USD
169,169,HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,0.112991,-,2957745.0,USD
170,170,JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,0.112757,-,8115555.0,USD
171,171,MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,0.112537,-,2812996.0,USD
172,172,HOWMET AEROSPACE INC,HWM,443201108,BKLJ8V2,0.112248,-,4979264.0,USD
173,173,NORFOLK SOUTHERN CORP,NSC,655844108,2641894,0.111035,-,2782892.0,USD
174,174,AIRBNB INC CLASS A,ABNB,009066101,BMGYYH4,0.110968,-,5324729.0,USD
175,175,ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.110187,-,3042826.0,USD
176,176,CENCORA INC,COR,03073E105,2795393,0.110149,-,2121594.0,USD
177,177,REPUBLIC SERVICES INC,RSG,760759100,2262530,0.109779,-,2495410.0,USD
178,178,FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.109118,-,17664844.0,USD
179,179,KROGER CO,KR,501044101,2497406,0.108374,-,8188079.0,USD
180,180,SCHLUMBERGER LTD,SLB,806857108,2779201,0.108098,-,17221596.0,USD
181,181,AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.108001,-,7294301.0,USD
182,182,CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.107077,-,9927935.0,USD
183,183,TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.106621,-,16177651.0,USD
184,184,EXELON CORP,EXC,30161N101,2670519,0.106274,-,12370316.0,USD
185,185,WORKDAY INC CLASS A,WDAY,98138H101,B8K6ZD1,0.105444,-,2630917.0,USD
186,186,DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.105046,-,3890198.0,USD
187,187,PUBLIC STORAGE,PSA,74460D109,2852533,0.104306,-,1938637.0,USD
188,188,FASTENAL CO,FAST,311900104,2332262,0.104083,-,7046959.0,USD
189,189,PACCAR INC,PCAR,693718108,2665861,0.103501,-,6444155.0,USD
190,190,SIMON PROPERTY GROUP INC,SPG,828806109,2812452,0.102967,-,3767163.0,USD
191,191,PAYCHEX INC,PAYX,704326107,2674458,0.102386,-,3939879.0,USD
192,192,SEMPRA,SRE,816851109,2138158,0.102076,-,7783669.0,USD
193,193,FEDEX CORP,FDX,31428X106,2142784,0.102053,-,2724058.0,USD
194,194,KIMBERLY CLARK CORP,KMB,494368103,2491839,0.101995,-,4077663.0,USD
195,195,FAIR ISAAC CORP,FICO,303250104,2330299,0.101709,-,299437.0,USD
196,196,ROSS STORES INC,ROST,778296103,2746711,0.101434,-,4056093.0,USD
197,197,CROWN CASTLE INC,CCI,22822V101,BTGQCX1,0.101192,-,5345987.0,USD
198,198,AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.100314,-,1182770.0,USD
199,199,GENERAL MOTORS CO,GM,37045V100,B665KZ5,0.100185,-,12232278.0,USD
